module_name,module_location
ae_agent_plugin.dll,dgagent
ae_mailsensor_plugin.dll,dgagent
afe_agent_plugin.dll,dgagent
ame_notessensor.dll,dgagent
ame_outlooksensor.dll,dgagent
ame_smtpsensor.dll,dgagent
dgadmin.exe,dgagent
dgagent.exe,dgagent
dgapi.dll,syswow64|system32
dgapi64.dll,system32
dgci2.dll,dgagent
dgcipher.exe,dgagent
dgcivrfy.dll,dgagent
dgclassify.dll,dgagent
dgclient.dll,dgagent
dgdecrypt.exe,syswow64
dgdecrypt.exe,syswow64|system32
dgdmk.sys,drivers
dgimager.dll,dgagent
dgmaster.sys,drivers
dgprobe.exe,dgagent
dgprompt.exe,dgagent
dgscan.exe,dgagent
dgservice.exe,dgagent
dgupdate.exe,dgagent
dgwip.exe,dgagent
im_agent_plugin.dll,dgagent
im_agent_plugin64.dll,dgagent
im_sensor.dll,dgagent
im_sensor64.dll,dgagent
